design,n_runs,absolute_window_change_median,absolute_window_change_p95,absolute_window_change_max
ssm,25,0.008820942095650444,0.02203125572655463,0.02754212360044176
hacsmv4_two_noaux,25,0.004533950317724827,0.013293452461538152,0.015552908397958141
hacssmv5_noaux,25,0.004544685670082652,0.00795017506976534,0.01191710466437859
hacssmv6_noaux,25,0.004533950317724827,0.013293452461538152,0.015552908397958141
hacssmv6_aux_noaction,25,0.004533950317724827,0.013293452461538152,0.015552908397958141
hacssmv6_uniform,25,0.0025006979899062152,0.00884073143737783,0.012333366298486708
hacssmv6_sourcegrad,25,0.005144610490681223,0.01291312473562954,0.021582851689514085
hacssmv6_fastonly,25,0.004457934660376843,0.00909820566144266,0.010090955396615153
hacssmv6_mediumonly,25,0.003048858136956448,0.010011891671643333,0.011168301199002632
hacssmv6_noaction,25,0.005239770171667742,0.012348894621372706,0.01547497963511181
hacssmv6_static,25,0.003530841947413199,0.015381402396958963,0.01966291630067197
hacssmv6_single,25,0.004236937262757107,0.010016538352406287,0.010557120704564264
hacssmv6,25,0.002933231814134368,0.007070424555123403,0.013091571323366743
__all__,325,0.004351256648732266,0.014421883671131647,0.02754212360044176
